DEUTSCH,ENGLISCH,PRÜFUNG
was ist das?,what is that?,was ist dat?
echt?,really?,echt?
wie geht's dir?,how are you?,wie geht's dir?
wie heißt du?,what's your name?,wie heisst du?
wo ist ... ?,where is ... ?,wo ist ... ?
nein,no,nein
bitte,please; you'r welcome,bitte
hallo,hi,hallo
super!,great!,super
klingt gut!,sounds good!,kling gut
ich liebe dich,I love you,ich liebe dich
ich heiße...,my name is ...,ich heisst ...
was?,what ?,was?
ja,yes,ja
guten Morgen,good morning,guten morgen
ach so!,I see!,ach so
danke,thanks,danke
was ist das WLAN Passwort?,what's the WIFI password?,was ist das WLAN password?
wo?,donde ?,wo
schönen Tag noch!,have a nice day!,schönen tag noch!
guten Abend,good evening,guten abend
los geht's!,let's go!; here we go!,los geht's
wo sind die Toiletten?,where are the toilets,wie sind die Toiletts
wie bitte?,say again?; say what?,wie bitte?
prost!,cheers!,prost
keine Ahnung,no idea; no clue,keine ahnung
tschüss,bye,tchuss
guten Tag,good day,guten tag
viel Glück!,Good luck!,viel glück
kein problem,no problem,kein problem
"gut, und dir?","good, and you?","gut, und dir"
auf Wiedersehen,goodbye,auf wiedersehen
gute Nacht,good night,guten nacht
scheiße!,shit!,scheisse